entityIndex,entityType,original,streetNumber,streetName,streetType,secUnitType,secUnitNum,city,state,zip,originalTerm
382,LegalConstruct,MOHEGAN TRAIL,NOT PARSED,MOHEGAN TRAIL,Trl,NOT PARSED,NOT PARSED,Block Island,RI,02807,MOHEGAN TRAIL
383,LegalConstruct,794  MOHEGAN TRAIL,794,MOHEGAN TRAIL,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,794  MOHEGAN TRAIL
384,Business,MOHEGAN TRAIL,NOT PARSED,MOHEGAN TRAIL,Trl,NOT PARSED,NOT PARSED,Block Island,RI,02807,MOHEGAN TRAIL
385,LegalConstruct,MOHEGAN TRAIL,NOT PARSED,MOHEGAN TRAIL,Trl,NOT PARSED,NOT PARSED,Block Island,RI,02807,MOHEGAN TRAIL
386,Business,MOHEGAN TRAIL,NOT PARSED,MOHEGAN TRAIL,Trl,NOT PARSED,NOT PARSED,Block Island,RI,02807,MOHEGAN TRAIL
387,Business,MOHEGAN TRAIL,NOT PARSED,MOHEGAN TRAIL,Trl,NOT PARSED,NOT PARSED,Block Island,RI,02807,MOHEGAN TRAIL
388,Business,MOHEGAN TRAIL,NOT PARSED,MOHEGAN TRAIL,Trl,NOT PARSED,NOT PARSED,Block Island,RI,02807,MOHEGAN TRAIL
389,AggregateHousehold,1669 MOHEGAN,1669,MOHEGAN,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1669 MOHEGAN
390,Business,MOHEGAN TRAIL,NOT PARSED,MOHEGAN TRAIL,Trl,NOT PARSED,NOT PARSED,Block Island,RI,02807,MOHEGAN TRAIL
391,Business,MOHEGAN TRAIL,NOT PARSED,MOHEGAN TRAIL,Trl,NOT PARSED,NOT PARSED,Block Island,RI,02807,MOHEGAN TRAIL
392,AggregateHousehold,1686  MOHEGAN TR,1686,MOHEGAN TR,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1686  MOHEGAN TR
393,AggregateHousehold,1671  MOHEGAN,1671,MOHEGAN,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1671  MOHEGAN
394,LegalConstruct,1663  MOHEGAN,1663,MOHEGAN,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1663  MOHEGAN
395,LegalConstruct,1647  MOHEGAN,1647,MOHEGAN,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1647  MOHEGAN
396,LegalConstruct,1082  MOHEGAN,1082,MOHEGAN,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1082  MOHEGAN
397,Individual,1066  MOHEGAN,1066,MOHEGAN,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1066  MOHEGAN
398,AggregateHousehold,1240  MOHEGAN,1240,MOHEGAN,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1240  MOHEGAN
399,LegalConstruct,1126  MOHEGAN,1126,MOHEGAN,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1126  MOHEGAN
400,LegalConstruct,1634  MOHEGAN,1634,MOHEGAN,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1634  MOHEGAN
401,Individual,1083  MOHEGAN,1083,MOHEGAN,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1083  MOHEGAN
402,LegalConstruct,975  MOHEGAN,975,MOHEGAN,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,975  MOHEGAN
403,AggregateHousehold,995  MOHEGAN,995,MOHEGAN,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,995  MOHEGAN
404,LegalConstruct,MOHEGAN,NOT PARSED,MOHEGAN,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,MOHEGAN
405,Individual,801  MOHEGAN,801,MOHEGAN,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,801  MOHEGAN
406,AggregateHousehold,MOHEGAN,NOT PARSED,MOHEGAN,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,MOHEGAN
407,AggregateHousehold,52  MOHEGAN,52,MOHEGAN,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,52  MOHEGAN
408,LegalConstruct,MOHEGAN,NOT PARSED,MOHEGAN,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,MOHEGAN
409,LegalConstruct,799  MOHEGAN,799,MOHEGAN,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,799  MOHEGAN
410,LegalConstruct,MOHEGAN,NOT PARSED,MOHEGAN,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,MOHEGAN
411,LegalConstruct,MOHEGAN,NOT PARSED,MOHEGAN,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,MOHEGAN
412,LegalConstruct,MITCHELL FARM OPN SP,NOT PARSED,MITCHELL FARM OPN SP,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,MITCHELL FARM OPN SP
413,LegalConstruct,MITCHELL FRM CON EAS,NOT PARSED,MITCHELL FRM CON EAS,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,MITCHELL FRM CON EAS
414,AggregateHousehold,MOHEGAN,NOT PARSED,MOHEGAN,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,MOHEGAN
415,LegalConstruct,MITCHELL FARM OPN SP,NOT PARSED,MITCHELL FARM OPN SP,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,MITCHELL FARM OPN SP
416,LegalConstruct,MITCHELL FARM-CONS.,NOT PARSED,MITCHELL FARM-CONS.,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,MITCHELL FARM-CONS.
417,AggregateHousehold,MITCHELL FARM,NOT PARSED,MITCHELL,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,MITCHELL FARM
418,LegalConstruct,777  MITCHELL,777,MITCHELL,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,777  MITCHELL
419,AggregateHousehold,1139  MITCHELL,1139,MITCHELL,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1139  MITCHELL
420,AggregateHousehold,667  MINISTERS LOT,667,MINISTERS LOT,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,667  MINISTERS LOT
421,AggregateHousehold,664  MINISTERS LOT,664,MINISTERS LOT,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,664  MINISTERS LOT
422,AggregateHousehold,776  MITCHELL,776,MITCHELL,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,776  MITCHELL
423,LegalConstruct,666  MINISTERS LOT,666,MINISTERS LOT,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,666  MINISTERS LOT
424,AggregateHousehold,665  MINISTERS LOT,665,MINISTERS LOT,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,665  MINISTERS LOT
425,LegalConstruct,668  MINISTERS LOT,668,MINISTERS LOT,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,668  MINISTERS LOT
426,AggregateHousehold,663  MINISTERS LOT,663,MINISTERS LOT,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,663  MINISTERS LOT
427,LegalConstruct,662 MINISTERS LOT,662,MINISTERS LOT,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,662 MINISTERS LOT
428,AggregateHousehold,660  MINISTERS LOT,660,MINISTERS LOT,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,660  MINISTERS LOT
429,AggregateHousehold,661  MINISTERS LOT,661,MINISTERS LOT,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,661  MINISTERS LOT
430,LegalConstruct,658  MINISTERS LOT,658,MINISTERS LOT,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,658  MINISTERS LOT
431,AggregateHousehold,1705  MANSION ROAD,1705,MANSION ROAD,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1705  MANSION ROAD
432,AggregateHousehold,659  MINISTERS LOT,659,MINISTERS LOT,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,659  MINISTERS LOT
433,LegalConstruct,1759 MANSION ROAD,1759,MANSION ROAD,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1759 MANSION ROAD
434,Business,MANSION ROAD,NOT PARSED,MANSION ROAD,Rd,NOT PARSED,NOT PARSED,Block Island,RI,02807,MANSION ROAD
435,Business,MANSION ROAD,NOT PARSED,MANSION ROAD,Rd,NOT PARSED,NOT PARSED,Block Island,RI,02807,MANSION ROAD
436,AggregateHousehold,701  MANSION ROAD,701,MANSION ROAD,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,701  MANSION ROAD
437,LegalConstruct,699  MANSION,699,MANSION,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,699  MANSION
438,Business,MANSION ROAD,NOT PARSED,MANSION ROAD,Rd,NOT PARSED,NOT PARSED,Block Island,RI,02807,MANSION ROAD
439,LegalConstruct,700  MANSION,700,MANSION,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,700  MANSION
440,Business,MANSION ROAD,NOT PARSED,MANSION ROAD,Rd,NOT PARSED,NOT PARSED,Block Island,RI,02807,MANSION ROAD
441,AggregateHousehold,1760  MANSION,1760,MANSION,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1760  MANSION
442,LegalConstruct,698  MANSION,698,MANSION,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,698  MANSION
443,AggregateHousehold,694  MANSION,694,MANSION,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,694  MANSION
444,AggregateHousehold,LEE'S RIDGE,NOT PARSED,LEE'S RIDGE,Rdg,NOT PARSED,NOT PARSED,Block Island,RI,02807,LEE'S RIDGE
445,LegalConstruct,1370 LEE'S RIDGE,1370,LEE'S RIDGE,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1370 LEE'S RIDGE
446,LegalConstruct,1301  LEE'S RDG-COONEYMUS,1301,LEE'S RDG-COONEYMUS,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1301  LEE'S RDG-COONEYMUS
447,Individual,MANSION,NOT PARSED,MANSION,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,MANSION
448,LegalConstruct,1092  LEE'S RIDGE,1092,LEE'S RIDGE,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1092  LEE'S RIDGE
449,LegalConstruct,1093  LEE'S RIDGE,1093,LEE'S RIDGE,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1093  LEE'S RIDGE
450,AggregateHousehold,LAKESIDE--ROW,NOT PARSED,LAKESIDE,Row,NOT PARSED,NOT PARSED,Block Island,RI,02807,LAKESIDE--ROW
451,Individual,LAKESIDE--INCOMPLETE,NOT PARSED,LAKESIDE,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,LAKESIDE--INCOMPLETE
452,LegalConstruct,LAKESIDE LOT,NOT PARSED,LAKESIDE,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,LAKESIDE LOT
453,AggregateHousehold,1632  LAKESIDE DRIVE,1632,LAKESIDE DRIVE,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1632  LAKESIDE DRIVE
454,Business,LAKESIDE DRIVE-POND,NOT PARSED,LAKESIDE DRIVE,Dr,NOT PARSED,NOT PARSED,Block Island,RI,02807,LAKESIDE DRIVE-POND
455,Individual,LAKESIDE LOT(INC),NOT PARSED,LAKESIDE,NOT PARSED,LOT,INC,Block Island,RI,02807,LAKESIDE LOT(INC)
456,AggregateHousehold,1678 LAKESIDE DRIVE,1678,LAKESIDE DRIVE,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1678 LAKESIDE DRIVE
457,Business,LAKESIDE DRIVE-POND,NOT PARSED,LAKESIDE DRIVE,Dr,NOT PARSED,NOT PARSED,Block Island,RI,02807,LAKESIDE DRIVE-POND
458,Individual,1614 LAKESIDE DRIVE,1614,LAKESIDE DRIVE,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1614 LAKESIDE DRIVE
459,AggregateHousehold,1545 LAKESIDE DRIVE,1545,LAKESIDE DRIVE,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1545 LAKESIDE DRIVE
460,AggregateHousehold,1346 LAKESIDE DRIVE,1346,LAKESIDE DRIVE,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1346 LAKESIDE DRIVE
461,LegalConstruct,LAKESIDE DRIVE,NOT PARSED,LAKESIDE DRIVE,Dr,NOT PARSED,NOT PARSED,Block Island,RI,02807,LAKESIDE DRIVE
462,AggregateHousehold,781  LAKESIDE DRIVE,781,LAKESIDE DRIVE,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,781  LAKESIDE DRIVE
463,Individual,LAKESIDE DRIVE,NOT PARSED,LAKESIDE DRIVE,Dr,NOT PARSED,NOT PARSED,Block Island,RI,02807,LAKESIDE DRIVE
464,AggregateHousehold,LAKESIDE DR--ROW,NOT PARSED,LAKESIDE,Row,NOT PARSED,NOT PARSED,Block Island,RI,02807,LAKESIDE DR--ROW
465,AggregateHousehold,1670  LAKESIDE,1670,LAKESIDE,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1670  LAKESIDE
466,Individual,1352  LAKESIDE,1352,LAKESIDE,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1352  LAKESIDE
467,LegalConstruct,1550  LAKESIDE,1550,LAKESIDE,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1550  LAKESIDE
468,AggregateHousehold,1184  LAKESIDE,1184,LAKESIDE,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1184  LAKESIDE
469,LegalConstruct,1087  LAKESIDE,1087,LAKESIDE,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1087  LAKESIDE
470,AggregateHousehold,1034  LAKESIDE,1034,LAKESIDE,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1034  LAKESIDE
471,LegalConstruct,1131  LAKESIDE,1131,LAKESIDE,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1131  LAKESIDE
472,AggregateHousehold,786  LAKESIDE,786,LAKESIDE,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,786  LAKESIDE
473,AggregateHousehold,1086  LAKESIDE,1086,LAKESIDE,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1086  LAKESIDE
474,Individual,780  LAKESIDE,780,LAKESIDE,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,780  LAKESIDE
475,Individual,785  LAKESIDE,785,LAKESIDE,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,785  LAKESIDE
476,Individual,784  LAKESIDE,784,LAKESIDE,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,784  LAKESIDE
477,AggregateHousehold,770  LAKESIDE,770,LAKESIDE,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,770  LAKESIDE
478,LegalConstruct,768  LAKESIDE,768,LAKESIDE,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,768  LAKESIDE
479,LegalConstruct,763  LAKESIDE,763,LAKESIDE,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,763  LAKESIDE
480,Individual,764  LAKESIDE,764,LAKESIDE,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,764  LAKESIDE
481,LegalConstruct,771  LAKESIDE,771,LAKESIDE,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,771  LAKESIDE
482,AggregateHousehold,760  LAKESIDE,760,LAKESIDE,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,760  LAKESIDE
483,AggregateHousehold,761  LAKESIDE,761,LAKESIDE,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,761  LAKESIDE
484,LegalConstruct,LAKESIDE,NOT PARSED,LAKESIDE,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,LAKESIDE
485,Business,HIGHSTREET,NOT PARSED,HIGH,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,HIGHSTREET
486,AggregateHousehold,759  LAKESIDE,759,LAKESIDE,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,759  LAKESIDE
487,Individual,369 HIGH STRRET,369,HIGH STRRET,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,369 HIGH STRRET
488,AggregateHousehold,99   HIGH STRRET,99,HIGH STRRET,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,99   HIGH STRRET
489,LegalConstruct,569  ISAAC CORNER,569,ISAAC CORNER,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,569  ISAAC CORNER
490,AggregateHousehold,351  HIGH STREET #1,351,HIGH STREET,NOT PARSED,#,1,Block Island,RI,02807,351  HIGH STREET #1
491,AggregateHousehold,27  HIGH STREET #1A,27,HIGH STREET,NOT PARSED,#,1A,Block Island,RI,02807,27  HIGH STREET #1A
492,LegalConstruct,1803 HIGH STREET #03,1803,HIGH STREET,NOT PARSED,#,03,Block Island,RI,02807,1803 HIGH STREET #03
493,Business,1802 HIGH STREET #06,1802,HIGH STREET,NOT PARSED,#,06,Block Island,RI,02807,1802 HIGH STREET #06
494,LegalConstruct,1806 HIGH STREET #06,1806,HIGH STREET,NOT PARSED,#,06,Block Island,RI,02807,1806 HIGH STREET #06
495,LegalConstruct,1804 HIGH STREET #04,1804,HIGH STREET,NOT PARSED,#,04,Block Island,RI,02807,1804 HIGH STREET #04
496,LegalConstruct,1805 HIGH STREET #05,1805,HIGH STREET,NOT PARSED,#,05,Block Island,RI,02807,1805 HIGH STREET #05
497,Business,1801 HIGH STREET #01,1801,HIGH STREET,NOT PARSED,#,01,Block Island,RI,02807,1801 HIGH STREET #01
498,LegalConstruct,240 HIGH STREET #01,240,HIGH STREET,NOT PARSED,#,01,Block Island,RI,02807,240 HIGH STREET #01
499,AggregateHousehold,1800 HIGH STREET,1800,HIGH STREET,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1800 HIGH STREET
500,AggregateHousehold,1257 HIGH STREET,1257,HIGH STREET,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1257 HIGH STREET
501,AggregateHousehold,1253 HIGH STREET,1253,HIGH STREET,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1253 HIGH STREET
502,Individual,1256 HIGH STREET,1256,HIGH STREET,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1256 HIGH STREET
503,AggregateHousehold,1287 HIGH STREET,1287,HIGH STREET,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1287 HIGH STREET
504,LegalConstruct,1255 HIGH STREET,1255,HIGH STREET,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1255 HIGH STREET
505,LegalConstruct,982  HIGH STREET,982,HIGH STREET,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,982  HIGH STREET
506,LegalConstruct,385 HIGH STREET,385,HIGH STREET,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,385 HIGH STREET
507,LegalConstruct,386 HIGH STREET,386,HIGH STREET,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,386 HIGH STREET
508,AggregateHousehold,364 HIGH STREET,364,HIGH STREET,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,364 HIGH STREET
509,Individual,370  HIGH STREET,370,HIGH STREET,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,370  HIGH STREET
510,AggregateHousehold,371  HIGH STREET,371,HIGH STREET,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,371  HIGH STREET
511,LegalConstruct,359  HIGH STREET,359,HIGH STREET,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,359  HIGH STREET
512,Business,357 HIGH STREET,357,HIGH STREET,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,357 HIGH STREET
513,LegalConstruct,366  HIGH STREET,366,HIGH STREET,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,366  HIGH STREET
514,LegalConstruct,353  HIGH STREET,353,HIGH STREET,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,353  HIGH STREET
515,Business,352  HIGH STREET,352,HIGH STREET,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,352  HIGH STREET
516,AggregateHousehold,351  HIGH STREET,351,HIGH STREET,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,351  HIGH STREET
517,LegalConstruct,337  HIGH STREET,337,HIGH STREET,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,337  HIGH STREET
518,AggregateHousehold,348  HIGH STREET,348,HIGH STREET,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,348  HIGH STREET
519,AggregateHousehold,343  HIGH STREET,343,HIGH STREET,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,343  HIGH STREET
520,AggregateHousehold,339  HIGH STREET,339,HIGH STREET,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,339  HIGH STREET
521,Individual,346 HIGH STREET,346,HIGH STREET,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,346 HIGH STREET
522,LegalConstruct,332  HIGH STREET,332,HIGH STREET,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,332  HIGH STREET
523,AggregateHousehold,336  HIGH STREET,336,HIGH STREET,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,336  HIGH STREET
524,Individual,139 HIGH STREET,139,HIGH STREET,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,139 HIGH STREET
525,AggregateHousehold,27  HIGH STREET,27,HIGH STREET,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,27  HIGH STREET
526,AggregateHousehold,27  HIGH STREET,27,HIGH STREET,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,27  HIGH STREET
527,Business,45  HIGH STREET,45,HIGH STREET,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,45  HIGH STREET
528,AggregateHousehold,27  HIGH STREET,27,HIGH STREET,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,27  HIGH STREET
529,AggregateHousehold,27  HIGH STREET,27,HIGH STREET,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,27  HIGH STREET
530,AggregateHousehold,27  HIGH STREET,27,HIGH STREET,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,27  HIGH STREET
531,LegalConstruct,HIGH STREET,NOT PARSED,HIGH STREET,St,NOT PARSED,NOT PARSED,Block Island,RI,02807,HIGH STREET
532,AggregateHousehold,HIGH STREET,NOT PARSED,HIGH STREET,St,NOT PARSED,NOT PARSED,Block Island,RI,02807,HIGH STREET
533,AggregateHousehold,HIGH STREET,NOT PARSED,HIGH STREET,St,NOT PARSED,NOT PARSED,Block Island,RI,02807,HIGH STREET
534,LegalConstruct,HIGH STREET,NOT PARSED,HIGH STREET,St,NOT PARSED,NOT PARSED,Block Island,RI,02807,HIGH STREET
535,AggregateHousehold,HIGH STREET,NOT PARSED,HIGH STREET,St,NOT PARSED,NOT PARSED,Block Island,RI,02807,HIGH STREET
536,Business,HIGH STREET,NOT PARSED,HIGH STREET,St,NOT PARSED,NOT PARSED,Block Island,RI,02807,HIGH STREET
537,Business,HIGH STREET,NOT PARSED,HIGH STREET,St,NOT PARSED,NOT PARSED,Block Island,RI,02807,HIGH STREET
538,AggregateHousehold,HIGH STREET,NOT PARSED,HIGH STREET,St,NOT PARSED,NOT PARSED,Block Island,RI,02807,HIGH STREET
539,Business,HIGH STREET,NOT PARSED,HIGH STREET,St,NOT PARSED,NOT PARSED,Block Island,RI,02807,HIGH STREET
540,LegalConstruct,HIGH STREET,NOT PARSED,HIGH STREET,St,NOT PARSED,NOT PARSED,Block Island,RI,02807,HIGH STREET
541,LegalConstruct,HIGH STREET,NOT PARSED,HIGH STREET,St,NOT PARSED,NOT PARSED,Block Island,RI,02807,HIGH STREET
542,AggregateHousehold,HIGH STREET,NOT PARSED,HIGH STREET,St,NOT PARSED,NOT PARSED,Block Island,RI,02807,HIGH STREET
543,AggregateHousehold,HIGH STREET,NOT PARSED,HIGH STREET,St,NOT PARSED,NOT PARSED,Block Island,RI,02807,HIGH STREET
544,AggregateHousehold,HIGH STREET,NOT PARSED,HIGH STREET,St,NOT PARSED,NOT PARSED,Block Island,RI,02807,HIGH STREET
545,AggregateHousehold,HIGH STREET,NOT PARSED,HIGH STREET,St,NOT PARSED,NOT PARSED,Block Island,RI,02807,HIGH STREET
546,Business,HIGH STREET,NOT PARSED,HIGH STREET,St,NOT PARSED,NOT PARSED,Block Island,RI,02807,HIGH STREET
547,LegalConstruct,HIGH STREET,NOT PARSED,HIGH STREET,St,NOT PARSED,NOT PARSED,Block Island,RI,02807,HIGH STREET
548,Business,HIGH STREET,NOT PARSED,HIGH STREET,St,NOT PARSED,NOT PARSED,Block Island,RI,02807,HIGH STREET
549,Individual,HIGH STREET,NOT PARSED,HIGH STREET,St,NOT PARSED,NOT PARSED,Block Island,RI,02807,HIGH STREET
550,LegalConstruct,HIGH STREET,NOT PARSED,HIGH STREET,St,NOT PARSED,NOT PARSED,Block Island,RI,02807,HIGH STREET
551,LegalConstruct,HIGH STREET,NOT PARSED,HIGH STREET,St,NOT PARSED,NOT PARSED,Block Island,RI,02807,HIGH STREET
552,AggregateHousehold,HIGH STREET,NOT PARSED,HIGH STREET,St,NOT PARSED,NOT PARSED,Block Island,RI,02807,HIGH STREET
553,Business,HIGH STREET,NOT PARSED,HIGH STREET,St,NOT PARSED,NOT PARSED,Block Island,RI,02807,HIGH STREET
554,Business,HIGH STREET,NOT PARSED,HIGH STREET,St,NOT PARSED,NOT PARSED,Block Island,RI,02807,HIGH STREET
555,AggregateHousehold,HIGH STREET,NOT PARSED,HIGH STREET,St,NOT PARSED,NOT PARSED,Block Island,RI,02807,HIGH STREET
556,AggregateHousehold,HIGH ST,NOT PARSED,HIGH ST,St,NOT PARSED,NOT PARSED,Block Island,RI,02807,HIGH ST
557,Business,390  HIGH ST,390,HIGH ST,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,390  HIGH ST
558,LegalConstruct,333  HIGH ST,333,HIGH ST,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,333  HIGH ST
559,AggregateHousehold,HIGH ST,NOT PARSED,HIGH ST,St,NOT PARSED,NOT PARSED,Block Island,RI,02807,HIGH ST
560,LegalConstruct,HIGH STREET,NOT PARSED,HIGH STREET,St,NOT PARSED,NOT PARSED,Block Island,RI,02807,HIGH STREET
561,AggregateHousehold,HIGH ST,NOT PARSED,HIGH ST,St,NOT PARSED,NOT PARSED,Block Island,RI,02807,HIGH ST
562,AggregateHousehold,201/378 HIGH  STREET,NOT PARSED,HIGH STREET,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,201/378 HIGH  STREET
