entityIndex,entityType,addressIndex,original,streetNumber,streetName,streetType,secUnitType,secUnitNum,city,state,zip,originalTerm
374,AggregateHousehold,0,PO BOX 729::#^#::SOMERS:^#^: CT 06071-0729,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,729,SOMERS,CT,06071,PO BOX 729::#^#::SOMERS:^#^: CT 06071-0729
375,LegalConstruct,0,PO BOX 923::#^#::BLOCK ISLAND:^#^: RI 02807,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,923,Block Island,RI,02807,PO BOX 923::#^#::BLOCK ISLAND:^#^: RI 02807
376,LegalConstruct,0,27 RICHARDSON ROAD::#^#::HUDSON :^#^: MA 01749,27,RICHARDSON,Rd,NOT PARSED,NOT PARSED,HUDSON,MA,01749,27 RICHARDSON ROAD::#^#::HUDSON :^#^: MA 01749
377,LegalConstruct,0,24 BRIAFIELD ROAD::#^#::BARRINGTON:^#^: RI 02806,24,BRIAFIELD,Rd,NOT PARSED,NOT PARSED,BARRINGTON,RI,02806,24 BRIAFIELD ROAD::#^#::BARRINGTON:^#^: RI 02806
378,Individual,0,5 FLAGG AVE::#^#::MONTAUK:^#^: NY 11954,5,FLAGG,Ave,NOT PARSED,NOT PARSED,MONTAUK,NY,11954,5 FLAGG AVE::#^#::MONTAUK:^#^: NY 11954
379,Business,0,PO BOX 949::#^#::BLOCK ISLAND:^#^: RI 02807,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,949,Block Island,RI,02807,PO BOX 949::#^#::BLOCK ISLAND:^#^: RI 02807
380,LegalConstruct,0,PO BOX 46::#^#::::#^#::BLOCK ISLAND:^#^: RI 02807,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,46,Block Island,RI,02807,PO BOX 46::#^#::::#^#::BLOCK ISLAND:^#^: RI 02807
381,LegalConstruct,0,PO BOX 488::#^#::BLOCK ISLAND:^#^: RI 02807,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,488,Block Island,RI,02807,PO BOX 488::#^#::BLOCK ISLAND:^#^: RI 02807
382,LegalConstruct,0,PO BOX 220::#^#::BLOCK ISLAND:^#^: RI 02807,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,220,Block Island,RI,02807,PO BOX 220::#^#::BLOCK ISLAND:^#^: RI 02807
383,LegalConstruct,0,PO BOX 2773::#^#::AMAGANSETT:^#^: NY 11930,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,2773,AMAGANSETT,NY,11930,PO BOX 2773::#^#::AMAGANSETT:^#^: NY 11930
384,Business,0,159 WATERMAN ST::#^#::PROVIDENCE:^#^: RI 02906,159,WATERMAN,St,NOT PARSED,NOT PARSED,PROVIDENCE,RI,02906,159 WATERMAN ST::#^#::PROVIDENCE:^#^: RI 02906
385,LegalConstruct,0,30 NORTH CALVIN RD::#^#::WESTON:^#^: CT 06883,30,CALVIN,Rd,NOT PARSED,NOT PARSED,WESTON,CT,06883,30 NORTH CALVIN RD::#^#::WESTON:^#^: CT 06883
386,Business,0,PO BOX 84::#^#::BLOCK ISLAND:^#^: RI 02807,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,84,Block Island,RI,02807,PO BOX 84::#^#::BLOCK ISLAND:^#^: RI 02807
387,Business,0,PO BOX 84::#^#::BLOCK ISLAND:^#^: RI 02807,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,84,Block Island,RI,02807,PO BOX 84::#^#::BLOCK ISLAND:^#^: RI 02807
388,Business,0,PO BOX 220::#^#::BLOCK ISLAND:^#^: RI 02807,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,220,Block Island,RI,02807,PO BOX 220::#^#::BLOCK ISLAND:^#^: RI 02807
389,AggregateHousehold,0,6 SHERIDAN RD::#^#::CHAPPAQUA:^#^: NY 10514,6,SHERIDAN,Rd,NOT PARSED,NOT PARSED,CHAPPAQUA,NY,10514,6 SHERIDAN RD::#^#::CHAPPAQUA:^#^: NY 10514
390,Business,0,240 HOPE STREET::#^#::PROVIDENCE:^#^: RI 02906,240,HOPE,St,NOT PARSED,NOT PARSED,PROVIDENCE,RI,02906,240 HOPE STREET::#^#::PROVIDENCE:^#^: RI 02906
391,Business,0,PO BOX 84::#^#::BLOCK ISLAND:^#^: RI 02807,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,84,Block Island,RI,02807,PO BOX 84::#^#::BLOCK ISLAND:^#^: RI 02807
392,AggregateHousehold,0,RARITAN PLAZA::#^#::RARITAN CENTER::#^#::EDISON :^#^: NJ 08818,NOT PARSED,RARITAN,Ctr,NOT PARSED,NOT PARSED,EDISON,NJ,08818,RARITAN PLAZA::#^#::RARITAN CENTER::#^#::EDISON :^#^: NJ 08818
393,AggregateHousehold,0,43 HIGH ROCK RD::#^#::WAYLAND:^#^: MA 01778,43,HIGH ROCK,Rd,NOT PARSED,NOT PARSED,WAYLAND,MA,01778,43 HIGH ROCK RD::#^#::WAYLAND:^#^: MA 01778
394,LegalConstruct,0,30 NORTH CALVIN RD::#^#::WESTON:^#^: CT 06883,30,CALVIN,Rd,NOT PARSED,NOT PARSED,WESTON,CT,06883,30 NORTH CALVIN RD::#^#::WESTON:^#^: CT 06883
395,LegalConstruct,0,8 OVERLOOK DRIVE::#^#::MT KISCO:^#^: NY 10549,8,OVERLOOK,Dr,NOT PARSED,NOT PARSED,MT KISCO,NY,10549,8 OVERLOOK DRIVE::#^#::MT KISCO:^#^: NY 10549
396,LegalConstruct,0,PO BOX 957::#^#::::#^#::BLOCK ISLAND:^#^: RI 02807,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,957,Block Island,RI,02807,PO BOX 957::#^#::::#^#::BLOCK ISLAND:^#^: RI 02807
397,Individual,0,80 DEACONESS ROAD::#^#::SUITE 231::#^#::CONCORD:^#^: MA 01742,80,DEACONESS,Rd,SUITE,231,CONCORD,MA,01742,80 DEACONESS ROAD::#^#::SUITE 231::#^#::CONCORD:^#^: MA 01742
398,AggregateHousehold,0,15 GALWAY LANE::#^#::PHOENIXVILLE:^#^: PA 19460,15,GALWAY,Ln,NOT PARSED,NOT PARSED,PHOENIXVILLE,PA,19460,15 GALWAY LANE::#^#::PHOENIXVILLE:^#^: PA 19460
399,LegalConstruct,0,ATTN: PHILIP LAWRENCE::#^#::101 PARK AVENUE:^#^: SUITE 3100::#^#::NEW YORK:^#^: NY 10178,NOT PARSED,ATTN,NOT PARSED,NOT PARSED,NOT PARSED,NOT PARSED,NOT PARSED,NOT PARSED,ATTN: PHILIP LAWRENCE::#^#::101 PARK AVENUE:^#^: SUITE 3100::#^#::NEW YORK:^#^: NY 10178
400,LegalConstruct,0,PO BOX 252::#^#::BLOCK ISLAND:^#^: RI 02807,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,252,Block Island,RI,02807,PO BOX 252::#^#::BLOCK ISLAND:^#^: RI 02807
401,Individual,0,PO BOX 1976::#^#::BLOCK ISLAND:^#^: RI 02807,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,1976,Block Island,RI,02807,PO BOX 1976::#^#::BLOCK ISLAND:^#^: RI 02807
402,LegalConstruct,0,P.O. BOX 118::#^#::::#^#::BLOCK ISLAND:^#^: RI 02807,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,118,Block Island,RI,02807,P.O. BOX 118::#^#::::#^#::BLOCK ISLAND:^#^: RI 02807
403,AggregateHousehold,0,PO BOX 129::#^#::BLOCK ISLAND:^#^: RI 02807,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,129,Block Island,RI,02807,PO BOX 129::#^#::BLOCK ISLAND:^#^: RI 02807
404,LegalConstruct,0,C/O BARIS FINANCIAL MANAGEMENT::#^#::43 OYSTER BAY ROAD::#^#::LOCUST VALLEY:^#^: NY 11560,43,OYSTER BAY,Rd,NOT PARSED,NOT PARSED,LOCUST VALLEY,NY,11560,C/O BARIS FINANCIAL MANAGEMENT::#^#::43 OYSTER BAY ROAD::#^#::LOCUST VALLEY:^#^: NY 11560
405,Individual,0,10 PRESIDENTIAL WAY::#^#::LINCOLN:^#^: RI 02865,10,PRESIDENTIAL,Way,NOT PARSED,NOT PARSED,LINCOLN,RI,02865,10 PRESIDENTIAL WAY::#^#::LINCOLN:^#^: RI 02865
406,AggregateHousehold,0,P.O. BOX 118::#^#::BLOCK ISLAND:^#^: RI 02807,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,118,Block Island,RI,02807,P.O. BOX 118::#^#::BLOCK ISLAND:^#^: RI 02807
407,AggregateHousehold,0,1163 36TH AVE NE::#^#::ST PETERSBURG:^#^: FL 33704,1163,36TH AVE NE,Ave,NOT PARSED,NOT PARSED,ST PETERSBURG,FL,33704,1163 36TH AVE NE::#^#::ST PETERSBURG:^#^: FL 33704
408,LegalConstruct,0,PO BOX 220::#^#::BLOCK ISLAND:^#^: RI 02807,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,220,Block Island,RI,02807,PO BOX 220::#^#::BLOCK ISLAND:^#^: RI 02807
409,LegalConstruct,0,1 POINTLESS FOREST TRAIL::#^#::ANNAPOLIS:^#^: MD 21401,1,POINTLESS FOREST,Trl,NOT PARSED,NOT PARSED,ANNAPOLIS,MD,21401,1 POINTLESS FOREST TRAIL::#^#::ANNAPOLIS:^#^: MD 21401
410,LegalConstruct,0,PO BOX 563::#^#::LOCUST VALLEY:^#^: NY 11650,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,563,LOCUST VALLEY,NY,11650,PO BOX 563::#^#::LOCUST VALLEY:^#^: NY 11650
411,LegalConstruct,0,PO BOX 220::#^#::BLOCK ISLAND:^#^: RI 02807,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,220,Block Island,RI,02807,PO BOX 220::#^#::BLOCK ISLAND:^#^: RI 02807
412,LegalConstruct,0,PO BOX 5::#^#::BLOCK ISLAND:^#^: RI 02807,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,5,Block Island,RI,02807,PO BOX 5::#^#::BLOCK ISLAND:^#^: RI 02807
413,LegalConstruct,0,PO BOX 5::#^#::BLOCK ISLAND:^#^: RI 02807,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,5,Block Island,RI,02807,PO BOX 5::#^#::BLOCK ISLAND:^#^: RI 02807
414,AggregateHousehold,0,1741 MIDDLEFIELD ROAD::#^#::PALO ALTO:^#^: CA 94301,1741,MIDDLEFIELD,Rd,NOT PARSED,NOT PARSED,PALO ALTO,CA,94301,1741 MIDDLEFIELD ROAD::#^#::PALO ALTO:^#^: CA 94301
415,LegalConstruct,0,PO BOX 5::#^#::BLOCK ISLAND:^#^: RI 02807,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,5,Block Island,RI,02807,PO BOX 5::#^#::BLOCK ISLAND:^#^: RI 02807
416,LegalConstruct,0,PO BOX 5::#^#::BLOCK ISLAND:^#^: RI 02807,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,5,Block Island,RI,02807,PO BOX 5::#^#::BLOCK ISLAND:^#^: RI 02807
417,AggregateHousehold,0,PO BOX 5::#^#::BLOCK ISLAND:^#^: RI 02807,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,5,Block Island,RI,02807,PO BOX 5::#^#::BLOCK ISLAND:^#^: RI 02807
418,LegalConstruct,0,25 CASSANDRA BLVD::#^#::APT 212::#^#::WEST HARTFORD:^#^: CT 06107-3163,25,CASSANDRA,Blvd,APT,212,WEST HARTFORD,CT,06107,25 CASSANDRA BLVD::#^#::APT 212::#^#::WEST HARTFORD:^#^: CT 06107-3163
419,AggregateHousehold,0,P.O. BOX 207::#^#::BLOCK ISLAND:^#^: RI 02807,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,207,Block Island,RI,02807,P.O. BOX 207::#^#::BLOCK ISLAND:^#^: RI 02807
420,AggregateHousehold,0,11006 WICKSHIRE WAY::#^#::ROCKVILLE:^#^: MD 20852,11006,WICKSHIRE,Way,NOT PARSED,NOT PARSED,ROCKVILLE,MD,20852,11006 WICKSHIRE WAY::#^#::ROCKVILLE:^#^: MD 20852
421,AggregateHousehold,0,P.O. Box 698::#^#::Block Island:^#^: RI 02807,NOT PARSED,NOT PARSED,NOT PARSED,PO Box,698,Block Island,RI,02807,P.O. Box 698::#^#::Block Island:^#^: RI 02807
422,AggregateHousehold,0,PO BOX 1143::#^#::BLOCK ISLAND:^#^: RI 02807,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,1143,Block Island,RI,02807,PO BOX 1143::#^#::BLOCK ISLAND:^#^: RI 02807
423,LegalConstruct,0,61 MERIAM ST::#^#::::#^#::LEXINGTON:^#^: MA 02420,61,MERIAM,St,NOT PARSED,NOT PARSED,LEXINGTON,MA,02420,61 MERIAM ST::#^#::::#^#::LEXINGTON:^#^: MA 02420
424,AggregateHousehold,0,909 WOLF TRAP RD::#^#::CHARLOTSVILLE:^#^: VA 22911,909,WOLF TRAP,Rd,NOT PARSED,NOT PARSED,CHARLOTSVILLE,VA,22911,909 WOLF TRAP RD::#^#::CHARLOTSVILLE:^#^: VA 22911
425,LegalConstruct,0,4 HYDE RIDGE RD::#^#::WESTON:^#^: CT 06883,4,HYDE RIDGE,Rd,NOT PARSED,NOT PARSED,WESTON,CT,06883,4 HYDE RIDGE RD::#^#::WESTON:^#^: CT 06883
426,AggregateHousehold,0,22 CURTISS PLACE::#^#::MAPLEWOOD:^#^: NJ 07040,22,CURTISS,Pl,NOT PARSED,NOT PARSED,MAPLEWOOD,NJ,07040,22 CURTISS PLACE::#^#::MAPLEWOOD:^#^: NJ 07040
427,LegalConstruct,0,709 HONEY FARM RD::#^#::LITTZ:^#^: PA 17543,709,HONEY FARM,Rd,NOT PARSED,NOT PARSED,LITTZ,PA,17543,709 HONEY FARM RD::#^#::LITTZ:^#^: PA 17543
428,AggregateHousehold,0,PO BOX 1214::#^#::BLOCK ISLAND:^#^: RI 02807,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,1214,Block Island,RI,02807,PO BOX 1214::#^#::BLOCK ISLAND:^#^: RI 02807
429,AggregateHousehold,0,PO BOX 433::#^#::THOMPSON:^#^: CT 06277,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,433,THOMPSON,CT,06277,PO BOX 433::#^#::THOMPSON:^#^: CT 06277
430,LegalConstruct,0,1WINDHAM HILL::#^#::MENDON:^#^: NY 14506,1,WINDHAM,Hl,NOT PARSED,NOT PARSED,MENDON,NY,14506,1WINDHAM HILL::#^#::MENDON:^#^: NY 14506
431,AggregateHousehold,0,10 HIGHVIEW DR::#^#::WILTON:^#^: CT 06897,10,HIGHVIEW,Dr,NOT PARSED,NOT PARSED,WILTON,CT,06897,10 HIGHVIEW DR::#^#::WILTON:^#^: CT 06897
432,AggregateHousehold,0,122 DRY HILL RD::#^#::MONTAGUE:^#^: MA 01351,122,DRY HILL,Rd,NOT PARSED,NOT PARSED,MONTAGUE,MA,01351,122 DRY HILL RD::#^#::MONTAGUE:^#^: MA 01351
433,LegalConstruct,0,121 PANSY ROAD::#^#::FAIRFIELD:^#^: CT 06824,121,PANSY,Rd,NOT PARSED,NOT PARSED,FAIRFIELD,CT,06824,121 PANSY ROAD::#^#::FAIRFIELD:^#^: CT 06824
434,Business,0,PO BOX 220::#^#::BLOCK ISLAND:^#^: RI 02807,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,220,Block Island,RI,02807,PO BOX 220::#^#::BLOCK ISLAND:^#^: RI 02807
435,Business,0,PO BOX 220::#^#::BLOCK ISLAND:^#^: RI 02807,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,220,Block Island,RI,02807,PO BOX 220::#^#::BLOCK ISLAND:^#^: RI 02807
436,AggregateHousehold,0,417 MAITLAND AVE::#^#::TEANECK:^#^: NJ 07666,417,MAITLAND,Ave,NOT PARSED,NOT PARSED,TEANECK,NJ,07666,417 MAITLAND AVE::#^#::TEANECK:^#^: NJ 07666
437,LegalConstruct,0,ONE CEDARCREST DRIVE::#^#::DANBURY:^#^: CT 06811,NOT PARSED,ONE CEDARCREST,Dr,NOT PARSED,NOT PARSED,DANBURY,CT,06811,ONE CEDARCREST DRIVE::#^#::DANBURY:^#^: CT 06811
438,Business,0,PO BOX 220::#^#::BLOCK ISLAND:^#^: RI 02807,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,220,Block Island,RI,02807,PO BOX 220::#^#::BLOCK ISLAND:^#^: RI 02807
439,LegalConstruct,0,505 W. MCKINLEY AVE::#^#::BRIDGEPORT:^#^: CT 06604,505,MCKINLEY,Ave,NOT PARSED,NOT PARSED,BRIDGEPORT,CT,06604,505 W. MCKINLEY AVE::#^#::BRIDGEPORT:^#^: CT 06604
440,Business,0,PO BOX 220::#^#::BLOCK ISLAND:^#^: RI 02807,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,220,Block Island,RI,02807,PO BOX 220::#^#::BLOCK ISLAND:^#^: RI 02807
441,AggregateHousehold,0,5 DUKELAND DR::#^#::WOODSTOCK:^#^: CT 06281,5,DUKELAND,Dr,NOT PARSED,NOT PARSED,WOODSTOCK,CT,06281,5 DUKELAND DR::#^#::WOODSTOCK:^#^: CT 06281
442,LegalConstruct,0,130 CINDYANN DRIVE::#^#::EAST GREENWICH:^#^: RI 02818,130,CINDYANN,Dr,NOT PARSED,NOT PARSED,EAST GREENWICH,RI,02818,130 CINDYANN DRIVE::#^#::EAST GREENWICH:^#^: RI 02818
443,AggregateHousehold,0,PO BOX 1453::#^#::BLOCK ISLAND:^#^: RI 02807,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,1453,Block Island,RI,02807,PO BOX 1453::#^#::BLOCK ISLAND:^#^: RI 02807
444,AggregateHousehold,0,1 KINGS HIGHWAY::#^#::CHESTER:^#^: CT 06412,1,KINGS,Hwy,NOT PARSED,NOT PARSED,CHESTER,CT,06412,1 KINGS HIGHWAY::#^#::CHESTER:^#^: CT 06412
445,LegalConstruct,0,15 ORCHARD HILL DR::#^#::RICHMOND:^#^: RI 02892,15,ORCHARD HILL,Dr,NOT PARSED,NOT PARSED,RICHMOND,RI,02892,15 ORCHARD HILL DR::#^#::RICHMOND:^#^: RI 02892
446,LegalConstruct,0,37 FRANCIS DR::#^#::NEWINGTON:^#^: CT 06111,37,FRANCIS,Dr,NOT PARSED,NOT PARSED,NEWINGTON,CT,06111,37 FRANCIS DR::#^#::NEWINGTON:^#^: CT 06111
447,Individual,0,PO BOX 12::#^#::BLOCK ISLAND:^#^: RI 02807,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,12,Block Island,RI,02807,PO BOX 12::#^#::BLOCK ISLAND:^#^: RI 02807
448,LegalConstruct,0,111 PLEASANT RIDGE RD::#^#::HARRISON:^#^: NY 10528,111,PLEASANT RIDGE,Rd,NOT PARSED,NOT PARSED,HARRISON,NY,10528,111 PLEASANT RIDGE RD::#^#::HARRISON:^#^: NY 10528
449,LegalConstruct,0,111 PLEASANT RIDGE RD::#^#::HARRISON:^#^: NY 10528,111,PLEASANT RIDGE,Rd,NOT PARSED,NOT PARSED,HARRISON,NY,10528,111 PLEASANT RIDGE RD::#^#::HARRISON:^#^: NY 10528
450,AggregateHousehold,0,89 NEWELL DR::#^#::CUMBERLAND:^#^: RI 02864,89,NEWELL,Dr,NOT PARSED,NOT PARSED,CUMBERLAND,RI,02864,89 NEWELL DR::#^#::CUMBERLAND:^#^: RI 02864
451,Individual,0,2710 SOUTH CENTRAL AVE.::#^#::FLAGLER BEACH:^#^: FL 06615,2710,CENTRAL,Ave,NOT PARSED,NOT PARSED,FLAGLER BEACH,FL,06615,2710 SOUTH CENTRAL AVE.::#^#::FLAGLER BEACH:^#^: FL 06615
452,LegalConstruct,0,PO BOX 220::#^#::BLOCK ISLAND:^#^: RI 02807,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,220,Block Island,RI,02807,PO BOX 220::#^#::BLOCK ISLAND:^#^: RI 02807
453,AggregateHousehold,0,4231 WEST BEACHWAY DR::#^#::TAMPA:^#^: FL 33609,4231,BEACHWAY,Dr,NOT PARSED,NOT PARSED,TAMPA,FL,33609,4231 WEST BEACHWAY DR::#^#::TAMPA:^#^: FL 33609
454,Business,0,PO BOX 84::#^#::BLOCK ISLAND:^#^: RI 02807,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,84,Block Island,RI,02807,PO BOX 84::#^#::BLOCK ISLAND:^#^: RI 02807
455,Individual,0,PO BOX B2::#^#::BLOCK ISLAND:^#^: RI 02807,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,B2,Block Island,RI,02807,PO BOX B2::#^#::BLOCK ISLAND:^#^: RI 02807
456,AggregateHousehold,0,PO BOX 27::#^#::SALFORDVILLE:^#^: PA 18958,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,27,SALFORDVILLE,PA,18958,PO BOX 27::#^#::SALFORDVILLE:^#^: PA 18958
457,Business,0,PO BOX 84::#^#::BLOCK ISLAND:^#^: RI 02807,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,84,Block Island,RI,02807,PO BOX 84::#^#::BLOCK ISLAND:^#^: RI 02807
458,Individual,0,60 TWIN RIDGE RD::#^#::RIDGEFIELD:^#^: CT 06877,60,TWIN RIDGE,Rd,NOT PARSED,NOT PARSED,RIDGEFIELD,CT,06877,60 TWIN RIDGE RD::#^#::RIDGEFIELD:^#^: CT 06877
459,AggregateHousehold,0,60 MOUNTAIN BROOK RD.::#^#::WEST HARTFORD:^#^: CT 06118,60,MOUNTAIN BROOK,Rd,NOT PARSED,NOT PARSED,WEST HARTFORD,CT,06118,60 MOUNTAIN BROOK RD.::#^#::WEST HARTFORD:^#^: CT 06118
460,AggregateHousehold,0,PO BOX 1672::#^#::BLOCK ISLAND:^#^: RI 02807,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,1672,Block Island,RI,02807,PO BOX 1672::#^#::BLOCK ISLAND:^#^: RI 02807
461,LegalConstruct,0,3050 MILITARY RD::#^#::WASHINGTON :^#^: DC 20015,3050,MILITARY,Rd,NOT PARSED,NOT PARSED,WASHINGTON,DC,20015,3050 MILITARY RD::#^#::WASHINGTON :^#^: DC 20015
462,AggregateHousehold,0,113 PATTRELL RD::#^#::::#^#::NORWICH:^#^: CT 05055,113,PATTRELL,Rd,NOT PARSED,NOT PARSED,NORWICH,CT,05055,113 PATTRELL RD::#^#::::#^#::NORWICH:^#^: CT 05055
463,Individual,0,PO BOX 248::#^#::NORTH KINGSTOWN:^#^: RI 02852,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,248,NORTH KINGSTOWN,RI,02852,PO BOX 248::#^#::NORTH KINGSTOWN:^#^: RI 02852
464,AggregateHousehold,0,PO BOX 46::#^#::N SCITUATE:^#^: RI 02857,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,46,North SCITUATE,RI,02857,PO BOX 46::#^#::N SCITUATE:^#^: RI 02857
466,Individual,0,PO BOX 301::#^#::BLOCK ISLAND:^#^: RI 02807,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,301,Block Island,RI,02807,PO BOX 301::#^#::BLOCK ISLAND:^#^: RI 02807
467,LegalConstruct,0,PO BOX 753::#^#::BLOCK ISLAND:^#^: RI 02807,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,753,Block Island,RI,02807,PO BOX 753::#^#::BLOCK ISLAND:^#^: RI 02807
468,AggregateHousehold,0,60 STONY BROOK ROAD::#^#::STONINGTON:^#^: CT 06378,60,STONY BROOK,Rd,NOT PARSED,NOT PARSED,STONINGTON,CT,06378,60 STONY BROOK ROAD::#^#::STONINGTON:^#^: CT 06378
469,LegalConstruct,0,PO BOX 656::#^#::BLOCK ISLAND:^#^: RI 02807,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,656,Block Island,RI,02807,PO BOX 656::#^#::BLOCK ISLAND:^#^: RI 02807
470,AggregateHousehold,0,89 NEWELL DR::#^#::CUMBERLAND:^#^: RI 02864,89,NEWELL,Dr,NOT PARSED,NOT PARSED,CUMBERLAND,RI,02864,89 NEWELL DR::#^#::CUMBERLAND:^#^: RI 02864
471,LegalConstruct,0,23 EDWIN ST::#^#::BARRINGTON:^#^: RI 02806,23,EDWIN,St,NOT PARSED,NOT PARSED,BARRINGTON,RI,02806,23 EDWIN ST::#^#::BARRINGTON:^#^: RI 02806
472,AggregateHousehold,0,PO BOX 1827::#^#::BLOCK ISLAND:^#^: RI 02807,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,1827,Block Island,RI,02807,PO BOX 1827::#^#::BLOCK ISLAND:^#^: RI 02807
473,AggregateHousehold,0,PO BOX 144::#^#::BLOCK ISLAND:^#^: RI 02807,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,144,Block Island,RI,02807,PO BOX 144::#^#::BLOCK ISLAND:^#^: RI 02807
474,Individual,0,PO BOX 248::#^#::NORTH KINGSTOWN:^#^: RI 02852,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,248,NORTH KINGSTOWN,RI,02852,PO BOX 248::#^#::NORTH KINGSTOWN:^#^: RI 02852
475,Individual,0,15 HIGHLAND ROAD::#^#::CHARLESTOWN:^#^: RI 02813,15,HIGHLAND,Rd,NOT PARSED,NOT PARSED,CHARLESTOWN,RI,02813,15 HIGHLAND ROAD::#^#::CHARLESTOWN:^#^: RI 02813
476,Individual,0,PO BOX 682::#^#::BLOCK ISLAND :^#^: RI 02807,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,682,Block Island,RI,02807,PO BOX 682::#^#::BLOCK ISLAND :^#^: RI 02807
477,AggregateHousehold,0,770 BOYLSTON ST.::#^#::APT 171::#^#::BOSTON:^#^: MA 02199,770,BOYLSTON,St,APT,171,BOSTON,MA,02199,770 BOYLSTON ST.::#^#::APT 171::#^#::BOSTON:^#^: MA 02199
478,LegalConstruct,0,PO BOX 299::#^#::MONROE:^#^: CT 06468-0299,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,299,MONROE,CT,06468,PO BOX 299::#^#::MONROE:^#^: CT 06468-0299
479,LegalConstruct,0,P.O. BOX 1539::#^#::BLOCK ISLAND:^#^: RI 02807,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,1539,Block Island,RI,02807,P.O. BOX 1539::#^#::BLOCK ISLAND:^#^: RI 02807
480,Individual,0,P.O. BOX 1916::#^#::BLOCK ISLAND:^#^: RI 02807,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,1916,Block Island,RI,02807,P.O. BOX 1916::#^#::BLOCK ISLAND:^#^: RI 02807
481,LegalConstruct,0,60 DOCKRAY ST::#^#::WAKEFIELD:^#^: RI 02879,60,DOCKRAY,St,NOT PARSED,NOT PARSED,WAKEFIELD,RI,02879,60 DOCKRAY ST::#^#::WAKEFIELD:^#^: RI 02879
482,AggregateHousehold,0,125 THE MEWS::#^#::HADDONFIELD:^#^: NJ 08033,125,THE,Mews,NOT PARSED,NOT PARSED,HADDONFIELD,NJ,08033,125 THE MEWS::#^#::HADDONFIELD:^#^: NJ 08033
483,AggregateHousehold,0,155 HILL STREET #3::#^#::SOUTHAMPTON:^#^: NY 11968,155,HILL,St,#,3,SOUTHAMPTON,NY,11968,155 HILL STREET #3::#^#::SOUTHAMPTON:^#^: NY 11968
484,LegalConstruct,0,PO BOX 971::#^#::::#^#::BLOCK ISLAND :^#^: RI 02807,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,971,Block Island,RI,02807,PO BOX 971::#^#::::#^#::BLOCK ISLAND :^#^: RI 02807
485,Business,0,159 WATERMAN ST::#^#::PROVIDENCE:^#^: RI 02906,159,WATERMAN,St,NOT PARSED,NOT PARSED,PROVIDENCE,RI,02906,159 WATERMAN ST::#^#::PROVIDENCE:^#^: RI 02906
